Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,Letter_support_Kebele,ApplicantIncome,CoapplicantIncome,Saving_Amount,Saving_time,Estmation_salary_or_property,Guarantors_marital_status,LoanAmount,Loan_Amount_Term,Credit_History, letter_free_debt ,Property_Area,Loan_Status
256858,37,M,yes ,1,notgraduate,yes,yes,6700,6700,0,twomonth,100000,no,30000,1,1,no,Rural,no
439766,37,M,yes ,0,notgraduate,yes,yes,4560,5600,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
1592605,36,M,yes ,0,notgraduate,yes,yes,2300,4900,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
629029,44,M,yes ,2,notgraduate,yes,yes,1980,4000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
377744,43,M,yes ,0,notgraduate,yes,yes,6500,6000,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
671017,41,M,yes ,2,notgraduate,yes,non,0,5400,0,twomonth,100000,no,30000,1,1,no,Rural,no
744937,40,F,yes ,1,notgraduate,yes,yes,3000,7000,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
635031,42,M,yes ,0,notgraduate,yes,yes,3900,8000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
637727,45,M,yes ,1,notgraduate,yes,no,3200,7600,0,twomonth,100000,no,30000,2,1,no,Rural, no
719628,42,M,yes ,0,notgraduate,yes,yes,0,5600,3000,twomonth,100000,yes ,30000,2,1,no,Rural,no
714708,40,M,yes ,3,notgraduate,yes,yes,1980,7800,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
447389,43,M,yes ,0,notgraduate,yes,yes,6500,1900,3000,twomonth,0,yes ,30000,1,1,no,Rural,no
237459,38,M,yes ,0,notgraduate,yes,yes,3400,2700,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
482090,41,M,yes ,0,notgraduate,yes,yes,1700,1985,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
543558,42,F,yes ,0,notgraduate,yes,yes,6000,2700,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
502602,38,M,yes ,0,notgraduate,yes,no,5000,560,0,twomonth,100000,yes ,30000,1,1,no,Rural,no
467593,35,M,yes ,0,notgraduate,yes,no,5400,890,0,twomonth,100000,no,30000,1,0,no,Rural,no
712484,42,M,yes ,0,notgraduate,yes,yes,2500,2400,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
430711,41,M,yes ,0,notgraduate,yes,yes,3400,2300,3000,twomonth,100000,yes ,30000,1,0,yes,Rural,yes
415121,46,M,yes ,0,notgraduate,yes,yes,2500,990,3000,twomonth,0,yes ,30000,2,0,yes,Rural,no
540610,38,M,yes ,0,notgraduate,yes,yes,5000,3734,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
625551,44,M,yes ,0,notgraduate,yes,yes,3400,3934,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
634881,40,F,yes ,1,notgraduate,yes,yes,3200,3333,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
731397,43,M,yes ,0,notgraduate,yes,yes,5000,1958,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
439313,38,M,yes ,0,notgraduate,yes,no,3000,2380,0,twomonth,0,yes ,30000,2,0,no,Rural,no
732384,41,F,yes ,0,notgraduate,yes,yes,5000,5358,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
352543,42,F,yes ,0,notgraduate,yes,yes,6500,15445,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
399526,38,F,yes ,0,notgraduate,yes,yes,4300,4609,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
687199,35,F,yes ,0,notgraduate,yes,yes,3365,8017,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
670827,42,F,yes ,2,notgraduate,yes,no,7000,3333,0,twomonth,100000,yes ,30000,2,0,no,Rural,no
395629,41,M,yes ,1,notgraduate,yes,yes,3000,3000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
465046,46,F,yes ,2,notgraduate,yes,yes,1958,3000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
265172,38,M,yes ,0,notgraduate,yes,yes,967,3000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
440758,44,M,yes ,0,notgraduate,yes,no,5500,4000,0,twomonth,100000,yes ,30000,2,1,yes,Rural,no
192701,40,M,yes ,1,notgraduate,yes,yes,3000,5000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
451380,43,M,yes ,2,notgraduate,yes,yes,957,3500,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
442096,38,M,yes ,0,notgraduate,yes,yes,3394,4100,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
255405,41,M,yes ,3,notgraduate,yes,no,3000,6000,0,twomonth,100000,yes ,30000,2,1,yes,Rural,no
536720,42,M,yes ,0,notgraduate,yes,yes,3333,1200,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
630483,38,M,yes ,1,notgraduate,yes,yes,2229,890,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
516968,35,M,yes ,0,notgraduate,yes,no,4500,1000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,no
266744,42,F,yes ,0,notgraduate,yes,yes,1978,2500,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
631813,41,M,yes ,0,notgraduate,yes,yes,6700,3400,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
449796,46,M,yes ,1,notgraduate,yes,yes,2800,8400,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
540604,38,M,yes ,3,notgraduate,yes,no,2200,2300,0,twomonth,0,yes ,30000,2,0,yes,Rural,no
419725,44,M,yes ,0,notgraduate,yes,yes,1900,2000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
1606275,37,F,yes ,0,notgraduate,yes,yes,4400,2001,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
692813,37,M,yes ,2,notgraduate,yes,yes,3400,5700,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
450386,36,M,yes ,0,notgraduate,yes,yes,5400,3800,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
718385,44,M,yes ,3,notgraduate,yes,yes,2900,3600,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
429085,43,M,yes ,3,notgraduate,yes,yes,5400,3100,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
670583,41,M,yes ,0,notgraduate,yes,yes,3400,4900,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
670595,40,M,yes ,0,notgraduate,yes,yes,1700,5100,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
467297,42,M,yes ,1,notgraduate,yes,yes,7800,3000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
421047,45,M,yes ,3,notgraduate,yes,yes,5200,3800,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
401959,42,M,yes ,3,notgraduate,yes,yes,5300,3200,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
478951,40,M,yes ,0,notgraduate,yes,yes,4300,2000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
531977,43,F,yes ,1,notgraduate,yes,yes,2900,4500,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
717832,38,M,yes ,2,notgraduate,yes,yes,2700,1890,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
412748,41,F,yes ,0,notgraduate,yes,yes,3000,1400,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
432037,42,M,yes ,1,notgraduate,yes,yes,2000,1900,0,twomonth,50000,yes ,20000,2,1,no,Rural,no
729025,38,M,yes ,0,notgraduate,yes,yes,2800,2800,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
657664,35,M,yes ,2,notgraduate,yes,yes,2600,1367,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
406699,42,M,yes ,0,notgraduate,yes,yes,4300,1789,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
451981,41,M,yes ,0,notgraduate,yes,yes,3600,2780,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
309085,46,M,yes ,0,notgraduate,yes,yes,5500,5000,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
634372,38,M,yes ,0,notgraduate,yes,yes,6500,2900,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
632932,44,M,yes ,2,notgraduate,yes,yes,1900,4500,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
627838,32,M,yes ,2,notgraduate,yes,yes,2400,3980,2000,twomonth,50000,yes ,20000,2,1,yes,Rural,yes
745654,33,M,yes ,0,notgraduate,yes,yes,3000,8017,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
528723,45,M,yes ,0,notgraduate,no,yes,2600,7071,2000,twomonth,50000,yes ,20000,2,0,No,Rural,no
167823,50,M,yes ,0,notgraduate,yes,yes,2900,4000,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
412831,44,M,yes ,0,notgraduate,yes,yes,3000,3500,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
535984,46,F,yes ,0,notgraduate,no,yes,4500,3900,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,no
429566,47,M,yes ,0,notgraduate,yes,yes,3450,3994,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
514899,42,M,yes ,0,notgraduate,yes,no,4609,2000,0,twomonth,0,yes ,20000,2,0,no,Rural,no
633494,39,M,yes ,2,notgraduate,yes,yes,0,0,0,twomonth,50000,yes ,20000,2,0,yes,Rural,no
685019,39,M,yes ,0,notgraduate,yes,yes,2000,4700,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
445147,36,M,yes ,1,notgraduate,yes,yes,4300,2000,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
641084,45,M,yes ,0,notgraduate,yes,yes,3000,5000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
731061,44,M,yes ,1,notgraduate,yes,yes,5000,6700,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
421439,56,M,yes ,1,notgraduate,yes,yes,5600,6000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
424122,48,M,yes ,2,notgraduate,yes,yes,4700,8000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
627289,46,M,yes ,0,notgraduate,yes,yes,4800,5400,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
696884,43,M,yes ,2,notgraduate,yes,no,5200,3600,0,twomonth,100000,yes ,30000,2,1,no,Rural,no
642728,38,M,yes ,3,notgraduate,yes,yes,4800,4100,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
616288,44,M,yes ,0,notgraduate,yes,yes,6700,5600,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
1602933,32,M,yes ,0,notgraduate,yes,yes,5400,3200,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
634776,33,F,yes ,0,notgraduate,yes,yes,3000,6700,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
634769,45,M,yes ,1,notgraduate,yes,yes,6700,8000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
640564,50,F,yes ,0,notgraduate,yes,yes,4500,4000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
632948,44,M,yes ,1,notgraduate,yes,no,6700,2000,0,twomonth,100000,yes ,30000,2,0,no,Rural,no
674660,46,M,yes ,0,notgraduate,yes,yes,3000,2900,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
738089,47,M,yes ,1,notgraduate,yes,yes,3200,6000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
734588,42,M,yes ,0,notgraduate,yes,yes,4000,5000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
631387,39,F,yes ,0,notgraduate,yes,no,4500,6700,0,twomonth,100000,yes ,30000,2,1,no,Rural,no
705213,39,M,yes ,1,notgraduate,yes,yes,4000,5800,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
640914,36,M,yes ,0,notgraduate,yes,yes,3300,8000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
620339,45,M,yes ,0,notgraduate,yes,yes,3900,5600,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
634764,44,M,yes ,2,notgraduate,yes,yes,3600,4300,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
450940,56,M,yes ,0,notgraduate,yes,yes,8600,4999,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
445092,48,M,yes ,0,notgraduate,yes,yes,5400,7800,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
439171,46,M,yes ,3,notgraduate,yes,no,3700,5600,3000,twomonth,0,yes ,30000,2,1,no,Rural,no
419486,43,M,yes ,0,notgraduate,yes,yes,4500,5000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
443790,46,M,yes ,1,notgraduate,yes,yes,8000,5000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
490551,38,M,yes ,0,notgraduate,yes,yes,1600,2000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
633454,44,M,yes ,0,notgraduate,yes,yes,3000,6700,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
444107,37,M,yes ,0,notgraduate,yes,yes,3000,4500,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
434861,37,M,yes ,0,notgraduate,yes,yes,4500,3600,0,twomonth,0,yes ,30000,2,1,no,Rural,no
709770,36,M,yes ,0,notgraduate,yes,yes,3000,3100,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
725205,44,F,yes ,0,notgraduate,yes,yes,2900,3000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
516208,43,M,yes ,3,notgraduate,yes,yes,7000,4800,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
440156,41,F,yes ,0,notgraduate,yes,yes,6000,5000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
453571,40,M,yes ,2,notgraduate,yes,yes,3400,6700,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
436023,42,M,yes ,0,notgraduate,yes,yes,3000,6700,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
692908,45,M,yes ,2,notgraduate,yes,no,2800,3800,3000,twomonth,100000,yes ,30000,2,0,no,Rural,no
529837,42,M,yes ,2,notgraduate,yes,yes,3000,3600,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
421651,40,M,yes ,0,notgraduate,yes,yes,5000,3700,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
634113,43,M,yes ,0,notgraduate,yes,yes,4000,4500,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
1592677,38,M,yes ,0,notgraduate,yes,yes,2000,7000,2000,twomonth,50000,yes ,20000,2,0,yes,Rural,yes
156741,41,M,yes ,2,notgraduate,yes,yes,1500,2000,1500,twomonth,10000,yes ,15000,2,0,yes,Rural,yes
439697,42,M,yes ,0,notgraduate,yes,yes,1600,2400,1500,twomonth,10000,yes ,15000,2,0,yes,Rural,yes
725203,38,M,yes ,2,notgraduate,yes,no,1900,2200,1500,twomonth,10000,yes ,15000,2,0,no,Rural,no
437600,35,M,yes ,1,notgraduate,yes,yes,1500,2670,1500,twomonth,10000,yes ,15000,2,0,yes,Rural,yes
450269,38,M,yes ,0,notgraduate,yes,yes,1800,3400,1500,twomonth,10000,yes ,15000,2,0,yes,Rural,yes
668163,35,M,yes ,0,notgraduate,yes,yes,4500,3000,1500,twomonth,10000,yes ,15000,2,0,yes,Rural,yes
500808,42,M,yes ,0,notgraduate,yes,yes,1500,5600,1500,twomonth,10000,yes ,15000,2,0,yes,Rural,yes
187656,41,F,yes ,0,notgraduate,yes,yes,1000,5000,0,twomonth,0,yes ,10000,2,1,no,Rural,no
536596,46,M,yes ,0,notgraduate,yes,yes,3000,6000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
189922,38,M,yes ,2,notgraduate,yes,yes,3600,4200,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
436178,44,M,yes ,0,notgraduate,yes,yes,1570,4000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
665327,40,M,yes ,3,notgraduate,yes,yes,3800,3900,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
435728,43,M,yes ,1,notgraduate,yes,yes,3100,7000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
173752,38,M,yes ,1,notgraduate,yes,yes,4700,2700,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
430127,41,M,yes ,0,notgraduate,yes,yes,1200,2500,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
408327,42,M,yes ,0,notgraduate,yes,yes,1800,3000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
353436,38,M,yes ,0,notgraduate,yes,yes,2700,3600,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
187711,35,M,yes ,0,notgraduate,yes,yes,2900,4800,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
164948,42,M,yes ,1,notgraduate,yes,yes,7600,6500,0,twomonth,0,yes ,30000,2,0,yes,Rural,no
430384,41,M,yes ,2,notgraduate,yes,yes,4300,6000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
528660,46,M,yes ,0,notgraduate,yes,yes,2780,7000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
719366,38,M,yes ,0,notgraduate,yes,yes,3343,6000,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
496206,44,M,yes ,0,notgraduate,yes,yes,7800,6500,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
660754,37,M,yes ,0,notgraduate,yes,yes,2600,6193,3000,twomonth,100000,yes ,30000,2,0,yes,Rural,yes
265569,37,M,yes ,0,notgraduate,yes,yes,5400,6193,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
443417,39,M,yes ,2,notgraduate,yes,yes,3300,7071,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
640488,39,M,yes ,0,notgraduate,yes,no,3000,7071,3000,twomonth,100000,yes ,30000,2,1,no,Rural,no
716754,44,M,yes ,0,graduate,yes,yes,14007,8017,5000,twomonth,14007,yes ,50000,2,0,yes,Urban ,yes
401925,42,M,yes ,2,graduate,yes,yes,7900,8017,5000,twomonth,14007,yes ,50000,2,0,yes,Urban ,yes
715639,42,M,yes ,1,graduate,no,yes,8900,8017,5000,twomonth,14007,yes ,50000,2,1,yes,Urban ,yes
540678,47,M,yes ,1,graduate,no,yes,13720,5358,5000,twomonth,13720,yes ,50000,2,1,yes,Urban ,yes
663394,45,M,yes ,0,graduate,no,no,13720,4609,0,twomonth,13720,yes ,50000,2,1,no,Urban ,no
162029,46,M,yes ,3,graduate,no,yes,4609,4081,4500,twomonth,4609,yes ,45000,2,1,yes,Urban ,yes
652944,38,M,yes ,2,graduate,no,yes,5358,3994,2300,twomonth,4609,yes ,23000,2,1,yes,Urban ,yes
273747,39,M,yes ,1,graduate,no,yes,1958,5133,1900,twomonth,1624,yes ,19000,2,1,yes,Urban ,yes
433464,37,M,yes ,1,graduate,no,yes,3333,3394,1000,twomonth,3333,yes ,10000,2,0,yes,Urban ,yes
718392,37,M,yes ,1,graduate,no,no,1853,3624,0,twomonth,1853,yes ,10000,2,0,no,Urban ,no
516220,39,M,yes ,1,graduate,no,no,0,0,0,twomonth,0,yes ,0,2,0,yes,Urban ,no
577867,36,M,yes ,1,graduate,no,yes,8017,7071,3800,twomonth,8017,yes ,38000,2,0,yes,Urban ,yes
187123,34,M,yes ,1,graduate,no,yes,6193,3994,3700,twomonth,6193,yes ,37000,2,0,yes,Urban ,yes
640970,36,M,yes ,1,graduate,no,yes,5358,7071,3700,twomonth,5358,yes ,37000,2,0,yes,Urban ,yes
702271,38,M,yes ,1,graduate,no,No,5358,9056,3800,twomonth,0,yes ,38000,2,0,no,Urban ,no
750082,34,M,yes ,1,graduate,no,yes,4423,9056,3000,twomonth,4423,yes ,30000,2,1,yes,Urban ,yes
629307,36,M,yes ,0,graduate,no,yes,3354,13720,3000,twomonth,3354,yes ,30000,2,1,yes,Urban ,yes
157079,37,M,yes ,0,graduate,no,yes,3354,13720,3000,twomonth,3354,yes ,30000,2,1,yes,Urban ,yes
452508,38,M,yes ,2,graduate,no,yes,0,0,0,twomonth,0,yes ,10000,2,1,no,Urban ,no
637375,39,M,yes ,0,graduate,no,yes,1847,4609,1500,twomonth,1847,yes ,15000,2,1,yes,Urban ,yes
535910,43,M,yes ,2,graduate,no,yes,5232,6193,3500,twomonth,5232,yes ,35000,2,1,yes,Urban ,yes
385167,45,M,yes ,1,graduate,no,yes,3333,3394,0,twomonth,0,yes ,31000,2,1,yes,Urban ,no
640699,43,M,yes ,0,graduate,no,yes,3333,3394,2800,twomonth,3333,yes ,28000,2,1,yes,Urban ,yes
446078,42,M,yes ,0,graduate,no,yes,1853,5358,3000,twomonth,1853,yes ,30000,2,1,yes,Urban ,yes
535151,40,M,yes ,0,graduate,no,no,1853,7071,3100,twomonth,1853,yes ,31000,2,1,no,Urban ,no
633586,43,M,yes ,0,graduate,no,no,4609,4999,5000,twomonth,4609,yes ,50000,2,1,yes,Urban ,no
158770,44,M,yes ,0,graduate,no,yes,10160,7071,5000,twomonth,10160,yes ,50000,2,1,yes,Urban ,yes
634306,46,M,yes ,2,graduate,no,no,7071,7071,5000,twomonth,7071,yes ,50000,2,1,no,Urban ,no
740071,45,M,yes ,0,graduate,no,no,12051,12529,3500,twomonth,12051,yes ,35000,2,1,no ,Urban ,no
524577,43,M,yes ,1,graduate,no,yes,12529,6193,3900,twomonth,12529,yes ,39000,2,1,yes,Urban ,yes
667868,46,M,yes ,0,graduate,no,no,8017,12529,3000,twomonth,8017,yes ,30000,2,1,no,Urban ,no
433513,43,M,yes ,2,graduate,no,yes,6193,9056,3000,twomonth,6193,yes ,30000,2,1,yes,Urban ,yes
625505,47,M,yes ,1,graduate,no,yes,15445,4081,5000,twomonth,15445,yes ,50000,2,1,yes,Urban ,yes
168130,46,M,yes ,1,graduate,no,no,8017,5358,3000,twomonth,8017,yes ,50000,2,1,no,Urban ,no
677114,43,M,yes ,0,graduate,no,yes,3930,7071,3000,twomonth,3930,yes ,30000,2,1,yes,Urban ,yes
446990,42,M,yes ,2,graduate,no,yes,3934,3394,4500,twomonth,3934,yes ,45000,2,1,yes,Urban ,yes
653006,47,M,yes ,1,graduate,no,yes,15445,12529,5000,twomonth,15445,yes ,50000,2,1,yes,Urban ,yes
307889,34,M,yes ,1,graduate,no,no,15445,12529,4500,twomonth,15445,no,45000,2,1,no,Urban ,no
446734,35,M,yes ,1,graduate,no,yes,15445,12529,3000,twomonth,15445,yes ,30000,2,1,yes,Urban ,yes
458564,36,M,yes ,0,graduate,no,yes,8017,8017,3800,twomonth,8017,yes ,38000,2,0,yes,Urban ,yes
506920,39,M,yes ,1,graduate,no,no,7341,7341,3600,twomonth,7341,no,36000,2,0,no,Urban ,no
636403,37,M,yes ,2,graduate,no,yes,7341,7341,3600,twomonth,7341,yes ,36000,2,0,yes,Urban ,yes
397901,38,M,yes ,3,graduate,no,yes,8017,8017,3600,twomonth,8017,yes ,36000,2,0,yes,Urban ,yes
633830,34,M,yes ,1,graduate,no,no,7341,7341,3000,twomonth,7341,no,30000,2,1,no,Urban ,no
633854,35,M,yes ,2,graduate,no,yes,5358,6193,3000,twomonth,5358,yes ,30000,2,1,yes,Urban ,yes
636038,34,M,yes ,1,graduate,no,yes,5358,6193,4000,twomonth,5358,yes ,40000,2,0,yes,Urban ,yes
725291,45,M,yes ,0,graduate,no,yes,1993,6193,1000,twomonth,1993,yes ,10000,2,1,yes,Urban ,yes
631965,42,M,yes ,1,graduate,no,yes,1624,6193,2500,twomonth,1624,yes ,25000,2,0,yes,Urban ,yes
636062,36,M,yes ,2,graduate,no,yes,1624,6193,1000,twomonth,1624,yes ,10000,2,1,yes,Urban ,yes
222203,31,M,yes ,2,graduate,no,yes,1999,6193,2800,twomonth,1999,no,28000,2,0,no,Urban ,no
192036,36,M,yes ,2,graduate,no,yes,5358,5358,2000,twomonth,5358,yes ,20000,2,0,yes,Urban ,yes
